Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,What is your gender identity?,,What is your racial or ethnic identity?,,What is your disability status? (Visible disabilities and invisible disabilities like diabetes and anxiety included),Choose the department you are in,,What is your age?,Did you join KSMC through a merger or acquisition?,Choose one: I joined KSMC...,Please respond with your sentiment towards each statement.,,,,,,,Please respond with your sentiment towards each statement,,,,,,Are there any diversity and inclusion activities or organizations you would like to see KSMC prioritize over the next year? Please note these organizations do not have to be based in Indiana.,Do you have any feedback regarding the survey itself?
12221058058,396321369,12/02/2020 01:12:55 PM,12/02/2020 01:14:57 PM,,,,,,Man,,White,,"No, I do not have a disability.",Data and Development Services,,55-64,No,"after May 26, 2020.",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,
12221016412,396321369,12/02/2020 12:23:48 PM,12/02/2020 01:02:46 PM,,,,,,Woman,,Hispanic or Latinx,,I prefer not to disclose.,Data and Development Services,,25-34,No,"before the move to remote due to COVID-19 on March 13, 2020.",Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,,,,,,,,
12220944618,396321369,12/02/2020 12:37:02 PM,12/02/2020 12:41:44 PM,,,,,,,Boeing AH-64 Apache Helicopter,Hispanic or Latinx,,I prefer not to disclose.,,,18-24,No,"after May 26, 2020.",,,,,,,,,,,,,,,
12220894896,396321369,12/02/2020 12:24:10 PM,12/02/2020 12:30:00 PM,,,,,,Man,,White,,"No, I do not have a disability.",Data and Development Services,,18-24,No,"after May 26, 2020.",Agree,Agree,Agree,Don't Know/Not Applicable,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,,
12220894796,396321369,12/02/2020 12:25:42 PM,12/02/2020 12:35:10 PM,,,,,,Man,,South Asian,,"No, I do not have a disability.",Data and Development Services,,25-34,No,"before the move to remote due to COVID-19 on March 13, 2020.",Agree,Strongly Agree,Neither Agree nor Disagree,Don't Know/Not Applicable,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,,
12220891014,396321369,12/02/2020 12:24:14 PM,12/02/2020 12:28:26 PM,,,,,,Man,,White,,"No, I do not have a disability.",Data and Development Services,,35-44,No,"after May 26, 2020.",Strongly Agree,Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,,,,,,,,
12220885288,396321369,12/02/2020 12:23:40 PM,12/02/2020 12:27:02 PM,,,,,,Woman,,White,,"No, I do not have a disability.",Data and Development Services,,25-34,No,"before the move to remote due to COVID-19 on March 13, 2020.",Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Disagree,Neither Agree nor Disagree,Disagree,,
12220884389,396321369,12/02/2020 12:23:35 PM,12/02/2020 12:26:40 PM,,,,,,Man,,White,,"No, I do not have a disability.",Data and Development Services,,35-44,Yes,"before the move to remote due to COVID-19 on March 13, 2020.",Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Disagree,,
12220883526,396321369,12/02/2020 12:23:34 PM,12/02/2020 12:25:15 PM,,,,,,Man,,White,,"No, I do not have a disability.",Data and Development Services,,25-34,No,before the split from KSM Accounting in March 2019.,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,
12220667370,396321369,12/02/2020 11:23:35 AM,12/02/2020 11:27:15 AM,,,,,,Man,,White,,"No, I do not have a disability.",Data and Development Services,,35-44,No,"before the move to remote due to COVID-19 on March 13, 2020.",Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,,
12220171857,396321369,12/02/2020 09:16:44 AM,12/02/2020 09:19:16 AM,,,,,,Man,,White,,"No, I do not have a disability.",Data and Development Services,,45-54,No,"after May 26, 2020.",Strongly Agree,Strongly Agree,Strongly Agree,Don't Know/Not Applicable,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,,
12217620143,396321369,12/01/2020 03:04:10 PM,12/01/2020 03:06:24 PM,,,,,,Woman,,White,,"Yes, I have a disability (or previously had a disability)",Data and Development Services,,18-24,No,"before the acquisition of Advocate on May 26, 2020.",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Disagree,,
12214296695,396321369,11/30/2020 05:01:06 PM,11/30/2020 05:11:25 PM,,,,,,Woman,,White,,"Yes, I have a disability (or previously had a disability)",,,45-54,No,"before the move to remote due to COVID-19 on March 13, 2020.",Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Disagree,Disagree,Neither Agree nor Disagree,No. I would like to see for diversity in hiring and promotions. Is this demographic information you can share? Can we set targets so we can see how we are doing re: becoming more diverse / inclusive? ,"One area of diversity I see welcomed at KSMC is sexual orientation. Although it is not a part of the demographics collected here, I would say it is the most open company I've been a part of in that respect, but you won't be able to track that if it is not captured somewhere. And I see the legal issues with asking. Anyway, good job there. "
12213386512,396321369,11/30/2020 12:13:14 PM,11/30/2020 12:15:31 PM,,,,,,Woman,,,Chinese American,"Yes, I have a disability (or previously had a disability)",Data and Development Services,,25-34,No,"before the move to remote due to COVID-19 on March 13, 2020.",Agree,Agree,Strongly Agree,Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Neither Agree nor Disagree,Agree,,
12213154752,396321369,11/30/2020 11:07:05 AM,11/30/2020 11:11:49 AM,,,,,,Woman,,White,,"No, I do not have a disability.",Public Sector Services,,55-64,Yes,"after May 26, 2020.",Strongly Agree,Strongly Agree,Strongly Agree,Don't Know/Not Applicable,Strongly Agree,Don't Know/Not Applicable,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,"Check out work by Margaret Greenburg, coach for Positivity that is doing some great corporate work also.",
12212908300,396321369,11/30/2020 09:56:27 AM,11/30/2020 10:06:11 AM,,,,,,Man,,White,,"No, I do not have a disability.",Technology Services,,45-54,Yes,"after May 26, 2020.",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,KSM should consider adding some activities/discussions around Pride month,None
12212896654,396321369,11/30/2020 09:43:30 AM,11/30/2020 09:55:40 AM,,,,,,Woman,,White,,"No, I do not have a disability.",Private Sector Services,,25-34,No,before the move to the downtown office in April 2018.,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,,
12211391316,396321369,11/29/2020 08:50:39 PM,11/29/2020 08:58:04 PM,,,,,,Man,,White,,"No, I do not have a disability.",Public Sector Services,,45-54,No,"before the acquisition of Advocate on May 26, 2020.",Strongly Agree,Agree,Strongly Agree,Don't Know/Not Applicable,Strongly Agree,Don't Know/Not Applicable,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,"some in person inclusion activities when we are allowed, to get to know people better",
12211205859,396321369,11/29/2020 06:52:16 PM,11/29/2020 06:55:43 PM,,,,,,Woman,,White,,"No, I do not have a disability.",Public Sector Services,,45-54,No,"before the move to remote due to COVID-19 on March 13, 2020.",Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,,
12211134465,396321369,11/29/2020 06:13:04 PM,11/29/2020 06:17:05 PM,,,,,,Woman,,White,,"No, I do not have a disability.",Public Sector Services,,25-34,No,"before the move to remote due to COVID-19 on March 13, 2020.",Agree,Agree,Neither Agree nor Disagree,Don't Know/Not Applicable,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,,Disagree,,
12210996259,396321369,11/29/2020 05:04:53 PM,11/29/2020 05:06:52 PM,,,,,,Woman,,White,,"No, I do not have a disability.",Operations,,45-54,No,"after May 26, 2020.",Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,,
12207342939,396321369,11/27/2020 11:38:13 AM,11/27/2020 11:45:06 AM,,,,,,Man,,White,,"No, I do not have a disability.",Public Sector Services,,18-24,No,before the acquisition of ConnectThink in June 2019.,Agree,Neither Agree nor Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,I am not aware of any D&I activities or organizations which I would like to prioritize. ,None
12203411030,396321369,11/25/2020 08:15:10 PM,11/25/2020 08:29:26 PM,,,,,,Man,,White,,I prefer not to disclose.,Public Sector Services,,35-44,No,before the move to the downtown office in April 2018.,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Code Black Indy  Indiana Black Expo,"Not sure if it can effectively be anonymous given the first few questions. My ethnicity and and age are common in the company for my start date, but you could get close to identifying me. I can only imagine how some others might feel. I’m concerned people might not answer honestly, especially those that are minorities in our company. "
12203211005,396321369,11/25/2020 06:32:43 PM,11/25/2020 06:51:19 PM,,,,,,Man,,White,,"No, I do not have a disability.",Data and Development Services,,35-44,No,before the move to the downtown office in April 2018.,Strongly Agree,Strongly Agree,Strongly Agree,Don't Know/Not Applicable,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,"In my group we have great diversity in many respects, but I do not see enough African Americans represented at KSMC. Can we contribute to or start a scholarship fund for underrepresented students majoring in data/math/CS?",
12203133586,396321369,11/25/2020 05:59:17 PM,11/25/2020 06:03:00 PM,,,,,,Woman,,White,,"No, I do not have a disability.",Public Sector Services,,25-34,No,before the split from KSM Accounting in March 2019.,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Disagree,,
12202990725,396321369,11/25/2020 04:57:00 PM,11/25/2020 05:06:52 PM,,,,,,Man,,White,,I prefer not to disclose.,Technology Services,,25-34,No,before the acquisition of ConnectThink in June 2019.,Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Disagree,Neither Agree nor Disagree,Strongly Disagree,Agree,Disagree,Agree,"We need to be more involved with LGBTQ organizations, events, and general awareness. Last year I heard nothing about Pride month",
12202942416,396321369,11/25/2020 04:36:11 PM,11/25/2020 04:47:27 PM,,,,,,Man,,White,,"No, I do not have a disability.",Data and Development Services,,25-34,No,"before the acquisition of Advocate on May 26, 2020.",Strongly Agree,Strongly Agree,Strongly Agree,Don't Know/Not Applicable,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Disagree,N/A,
12202918428,396321369,11/25/2020 04:25:30 PM,11/25/2020 04:27:55 PM,,,,,,Man,,White,,"No, I do not have a disability.",Private Sector Services,,45-54,No,before the move to the downtown office in April 2018.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,,
12192586377,396321369,11/22/2020 12:23:04 PM,11/22/2020 12:27:38 PM,,,,,,Man,,White,,"No, I do not have a disability.",Technology Services,,35-44,No,before the split from KSM Accounting in March 2019.,Strongly Agree,Agree,Agree,Don't Know/Not Applicable,Strongly Agree,Don't Know/Not Applicable,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,no,no
12192520726,396321369,11/22/2020 11:33:25 AM,11/22/2020 12:01:55 PM,,,,,,Woman,,African American or Black,,"No, I do not have a disability.",Public Sector Services,,35-44,No,before the split from KSM Accounting in March 2019.,Don't Know/Not Applicable,Neither Agree nor Disagree,Strongly Disagree,Don't Know/Not Applicable,Disagree,Neither Agree nor Disagree,Disagree,Don't Know / Not Applicable,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Neither Agree nor Disagree,"Celebrate and connect with cultures. ex. Women's Month honors women who made some remarkable impressions on society. Hispanic heritage month celebrates notable Hispanics who have made difference in our country. Black History Month acknowledges the historic efforts and notable men and women who gave to our country. Veteran's Day acknowledges the men and women who served and those whom KSMC employed. As far as organizations Indiana Women and Technology, Girls Inc, Girls Who Code, are a few starting orgs. Also, there are a ton of ways we can connect with veteran orgs and black tech firms. ","There were one or two questions that were not clear or understandable in the survey. Also, the survey does create a level of uncomfortability, which could present some apprehension. Nevertheless, I took it hoping that my voice will be heard and that we can make changes within the organization to help all people feel like they belong. Diversity, Equity, and Inclusion are important and should be echoed in all departments. "
12190128848,396321369,11/20/2020 10:28:46 PM,11/20/2020 10:42:03 PM,,,,,,Man,,South Asian,,"No, I do not have a disability.",Data and Development Services,,35-44,No,before the move to the downtown office in April 2018.,Neither Agree nor Disagree,Strongly Agree,Agree,Don't Know/Not Applicable,Strongly Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,"I would like if the firm has more initiatives in education, particularly STEM across all school aged kids in Indiana",The survey captures the points very well. 
12189563348,396321369,11/20/2020 04:58:25 PM,11/20/2020 05:04:51 PM,,,,,,Man,,White,,"No, I do not have a disability.",Data and Development Services,,35-44,Yes,"before the move to remote due to COVID-19 on March 13, 2020.",Agree,Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,"Code Black Indy, Inc.",
12189280986,396321369,11/20/2020 03:08:18 PM,11/20/2020 03:10:43 PM,,,,,,Man,,Hispanic or Latinx,,"No, I do not have a disability.",Data and Development Services,,25-34,No,before the acquisition of ConnectThink in June 2019.,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Neither Agree nor Disagree,Disagree,Agree,,
12189276376,396321369,11/20/2020 03:06:45 PM,11/20/2020 03:09:57 PM,,,,,,Woman,,Middle Eastern or North African,,"No, I do not have a disability.",Public Sector Services,,35-44,No,"before the acquisition of Advocate on May 26, 2020.",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,"I don't know, I just moved back to the US",
12189244323,396321369,11/19/2020 04:41:56 PM,11/20/2020 02:59:33 PM,,,,,,Woman,,White,,"No, I do not have a disability.",Private Sector Services,,25-34,No,"after May 26, 2020.",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,,
12189242558,396321369,11/20/2020 02:55:08 PM,11/20/2020 02:57:31 PM,,,,,,Man,,White,,"No, I do not have a disability.",Technology Services,,25-34,No,before the move to the downtown office in April 2018.,Strongly Agree,Strongly Agree,Strongly Agree,Don't Know/Not Applicable,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,,
12189188750,396321369,11/20/2020 02:36:07 PM,11/20/2020 03:08:50 PM,,,,,,Man,,White,,"No, I do not have a disability.",Data and Development Services,,35-44,Yes,"before the move to remote due to COVID-19 on March 13, 2020.",Agree,Agree,Agree,Don't Know/Not Applicable,Strongly Agree,Disagree,Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,I would KSMC support organizations that are providing educational opportunities to kids in the K-12 space. Brave Camp was awesome. I'd love to see more like that.,The survey was most introspective. I don't think that KSMC within itself has a pattern of discrimination. I do think that we as an organization should be more outward facing however. It took the organization WAY too long to respond to the Black Lives Matter movement this year. I would love to see us be thought leaders in the community around inclusion.
12189137649,396321369,11/20/2020 02:15:33 PM,11/20/2020 02:23:59 PM,,,,,,Man,,White,,"No, I do not have a disability.",Private Sector Services,,55-64,No,before the move to the downtown office in April 2018.,Disagree,Agree,Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,"Just do something beyond planning, let's do what KSMC is good at and let's start solving the problem with real effort and outcomes",
12189079396,396321369,11/20/2020 01:56:25 PM,11/20/2020 01:58:22 PM,,,,,,Woman,,White,,"No, I do not have a disability.",Sales,,25-34,No,"after May 26, 2020.",,,,,,,,,,,,,,,
12189014554,396321369,11/20/2020 01:34:40 PM,11/20/2020 01:37:44 PM,,,,,,Man,,White,,"No, I do not have a disability.",Public Sector Services,,35-44,No,"before the move to remote due to COVID-19 on March 13, 2020.",Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Don't Know/Not Applicable,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Strongly Agree,None come to mind...,Thank you for doing this.
12189004528,396321369,11/20/2020 01:31:13 PM,11/20/2020 01:33:43 PM,,,,,,Woman,,White,,"No, I do not have a disability.",Operations,,25-34,No,before the split from KSM Accounting in March 2019.,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,,
12188998049,396321369,11/20/2020 01:29:01 PM,11/20/2020 01:32:39 PM,,,,,,Man,,White,,"No, I do not have a disability.",Public Sector Services,,55-64,Yes,"after May 26, 2020.",Strongly Agree,Don't Know/Not Applicable,Strongly Agree,Don't Know/Not Applicable,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,None,None
12188996073,396321369,11/20/2020 01:27:45 PM,11/20/2020 01:31:56 PM,,,,,,Man,,White,,"No, I do not have a disability.",Data and Development Services,,25-34,No,before the split from KSM Accounting in March 2019.,Agree,Strongly Agree,Agree,Don't Know/Not Applicable,Strongly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Disagree,,
12188991281,396321369,11/20/2020 01:26:19 PM,11/20/2020 01:29:48 PM,,,,,,Man,,White,,"No, I do not have a disability.",Public Sector Services,,55-64,Yes,"after May 26, 2020.",Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,,
12188975103,396321369,11/20/2020 01:21:34 PM,11/20/2020 01:23:40 PM,,,,,,Woman,,White,,"No, I do not have a disability.",Operations,,45-54,No,"after May 26, 2020.",Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,,
12188104426,396321369,11/20/2020 08:52:01 AM,11/20/2020 09:08:18 AM,,,,,,Woman,,White,,"No, I do not have a disability.",Operations,,35-44,No,"after May 26, 2020.",Agree,Don't Know/Not Applicable,Agree,Don't Know/Not Applicable,Don't Know/Not Applicable,Don't Know/Not Applicable,Don't Know/Not Applicable,Don't Know / Not Applicable,Don't Know / Not Applicable,Don't Know / Not Applicable,Don't Know / Not Applicable,Don't Know / Not Applicable,Disagree,"Opportunity to participate in training to become an anti racist. I'd be happy to help with this. It would be neat to offer some pro bono services to non-profits that support diversity/ inclusion, and/or or minority owned businesses to give an extra boost to thrive. ","Thanks for seeking feedback and sharing the latest diversity and inclusion plans in the All Staff. I am new, which is why I felt I needed to make ""don't know""/"" not applicable"" for many of the sections. "
12187967831,396321369,11/19/2020 04:39:34 PM,11/20/2020 08:18:45 AM,,,,,,Man,,White,,"No, I do not have a disability.",Public Sector Services,,35-44,No,"after May 26, 2020.",Strongly Agree,Strongly Agree,Strongly Agree,Don't Know/Not Applicable,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,"Interrupting Racism Now.  This is a one- or two-day training session by Soul Focused Group, a national equity firm, that addresses the realities of systemic racism in America, both historical and present-day.  It is a fantastic training I would highly recommend our firm participate in.  Dustin Washington is an extraordinary facilitator.  ",No.
12187903996,396321369,11/19/2020 04:39:40 PM,11/20/2020 07:57:40 AM,,,,,,Man,,White,,"No, I do not have a disability.",Public Sector Services,,25-34,No,before the move to the downtown office in April 2018.,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,,"KSMC is reactive to DEI. We, like many other organizations, are aware of the importance but quite content drawing out our responses. This, of course, is both good and bad. Good, that we are trying to be intentional and thoughtful. Bad, that there is no urgency or clear visible change. There are so many clear things we can do to show a commitment to progress. An easy one would be - look at all of our expenditures in each of our communities (think everything, food, paper, ink, internet, cell phones, tshirts, insurance, etc., everything) and baseline how much of that spending goes directly into our communities and directly to XBE organizations. Then, make a clear commitment to change. "
12187886286,396321369,11/19/2020 04:40:15 PM,11/20/2020 07:51:48 AM,,,,,,Man,,White,,"No, I do not have a disability.",Data and Development Services,,25-34,No,before the move to the downtown office in April 2018.,Agree,Agree,Agree,Don't Know/Not Applicable,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,I think ways that we can get involved in the community would be excellent. Albeit existing or net new partnerships with community-based organizations that are advocates for change in the D&I space,
12186382699,396321369,11/19/2020 06:15:30 PM,11/19/2020 06:20:01 PM,,,,,,Man,,White,,"No, I do not have a disability.",Public Sector Services,,35-44,No,"before the acquisition of Advocate on May 26, 2020.",Agree,Agree,Agree,Don't Know/Not Applicable,Strongly Agree,Don't Know/Not Applicable,Agree,Don't Know / Not Applicable,Strongly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,,
12186233460,396321369,11/19/2020 04:40:08 PM,11/19/2020 05:26:55 PM,,,,,,Woman,,White,,"No, I do not have a disability.",Data and Development Services,,18-24,No,"after May 26, 2020.",Agree,Don't Know/Not Applicable,Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,,
12186187675,396321369,11/19/2020 04:40:14 PM,11/19/2020 05:09:38 PM,,,,,,Man,,White,,"No, I do not have a disability.",Operations,,35-44,No,"after May 26, 2020.",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Great survey! Thank you for asking and including everyone in the process...
12186180594,396321369,11/19/2020 05:04:35 PM,11/19/2020 05:05:33 PM,,,,,,Man,,White,,"No, I do not have a disability.",Technology Services,,25-34,No,"before the move to remote due to COVID-19 on March 13, 2020.",,,,,,,,,,,,,,,
12186136988,396321369,11/19/2020 04:48:33 PM,11/19/2020 05:16:12 PM,,,,,,Woman,,White,,"No, I do not have a disability.",Data and Development Services,,35-44,No,"after May 26, 2020.",Agree,Strongly Agree,Agree,Don't Know/Not Applicable,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,,
12186119035,396321369,11/19/2020 04:40:28 PM,11/19/2020 04:47:16 PM,,,,,,Man,,White,,I prefer not to disclose.,Technology Services,,25-34,No,before the move to the downtown office in April 2018.,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,,
12186115458,396321369,11/19/2020 04:41:41 PM,11/19/2020 04:47:57 PM,,,,,,Man,,White,,"No, I do not have a disability.",Public Sector Services,,35-44,No,before the split from KSM Accounting in March 2019.,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Agree,Direct collaboration with friends at Innopower or like minded groups. ,No.  Thanks for the effort.
12186111311,396321369,11/19/2020 04:39:41 PM,11/19/2020 05:06:34 PM,,,,,,Man,,East Asian,,"No, I do not have a disability.",Data and Development Services,,25-34,No,"after May 26, 2020.",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,
12186110292,396321369,11/19/2020 04:39:47 PM,11/19/2020 04:44:05 PM,,,,,,Man,,White,,"No, I do not have a disability.",Public Sector Services,,45-54,Yes,"after May 26, 2020.",Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,"none that come to mind immediately, but I definitely feel like I could identify an opportunity and it would receive attention",no - just appreciate the continued focust on diversity
12186110210,396321369,11/19/2020 04:39:36 PM,11/19/2020 04:45:05 PM,,,,,,Woman,,White,,"Yes, I have a disability (or previously had a disability)",Public Sector Services,,35-44,No,"before the move to remote due to COVID-19 on March 13, 2020.",Disagree,Agree,Disagree,Neither Agree nor Disagree,Agree,Agree,Disagree,Neither Agree nor Disagree,Agree,Agree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,"I’d like to see our data team give us a D&I dashboard. Headcount, rank, salary. We can anecdotally see we are not diverse. We need a baseline to show progress. ",Having HR at the helm of this is not working. The tone is off coming from a single HR rep. Use the team.
12186109857,396321369,11/19/2020 04:39:36 PM,11/19/2020 04:41:52 PM,,,,,,Man,,White,,"No, I do not have a disability.",Technology Services,,25-34,No,"before the move to remote due to COVID-19 on March 13, 2020.",Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Disagree,,
12186109409,396321369,11/19/2020 04:39:33 PM,11/19/2020 04:45:49 PM,,,,,,Man,,White,,"No, I do not have a disability.",Operations,,35-44,No,"after May 26, 2020.",Strongly Agree,Strongly Agree,Strongly Agree,Don't Know/Not Applicable,Strongly Agree,Don't Know/Not Applicable,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,None I can think of at the moment but will do a better job of thinking about this and reach out.,Nope
12186109084,396321369,11/19/2020 04:39:35 PM,11/19/2020 04:42:57 PM,,,,,,Man,,White,,"No, I do not have a disability.",Data and Development Services,,25-34,No,"after May 26, 2020.",Agree,Strongly Agree,Agree,Don't Know/Not Applicable,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Disagree,Strongly Agree,,
